id;title;description;content;total_emotion;total_share;created_at;updated_at;user_id
1;Singapore Mexico;Tasty action-items;Hat;76714;33141;2022-07-24;2022-07-25;1539
2;Generic next-generation;Guadeloupe payment Multi-layered;mobile Dinar Fully-configurable;98784;55408;2022-07-24;2022-07-25;73739
3;Licensed backing;payment Identity;PCI Home;18335;3931;2022-07-24;2022-07-24;46838
4;microchip Investor partnerships;Netherlands;Digitized;54043;59466;2022-07-24;2022-07-25;12436
5;Avon transform tolerance;e-business service-desk;Money background bandwidth;23754;33722;2022-07-24;2022-07-24;97467
6;PCI Qatari Fish;synergize SQL generate;copy Avon;44797;28351;2022-07-25;2022-07-24;13680
7;deposit metrics Administrator;Awesome payment Cross-group;Optional;59901;99826;2022-07-25;2022-07-24;9351
8;enterprise Awesome;Cheese;Steel;2663;739;2022-07-24;2022-07-25;31967
9;Bedfordshire metrics;Utah connecting;frictionless;47556;9717;2022-07-25;2022-07-25;74392
10;turquoise back Diverse;Borders AGP Shoes;calculating Corporate whiteboard;48912;42859;2022-07-24;2022-07-25;91433
